Periodicity ;Year;Quarter ;Month;Item;Money Supply in Million Saudi Riyals
Monthly;2009;Q3;Jul;Money Supply M2;836037.96
Monthly;2009;Q3;Aug;Other Quasi- Money Deposits;169663.857
Monthly;2009;Q3;Aug;Money Supply M3;994724.566
Monthly;2009;Q4;Oct;Money Supply M1;495722.297
Monthly;2009;Q4;Oct;Money Supply M2;826140.411
Monthly;2009;Q4;Nov;Money Supply M3;1023234.169
Monthly;2009;Q4;Dec;Demand  Deposits;433162.212
Monthly;2009;Q4;Dec;Other Quasi- Money Deposits;184009.189
Monthly;2009;Q4;Dec;Money Supply M1;521557.563
Monthly;2009;Q4;Dec;Money Supply M2;844934.592
Monthly;2010;Q1;Jan;Demand  Deposits;443336.925
Monthly;2010;Q1;Jan;Other Quasi- Money Deposits;166051.108
Monthly;2010;Q1;Jan;Money Supply M1;531691.989029
Monthly;2010;Q1;Jan;Money Supply M3;1005569.85703
Monthly;2010;Q1;Feb;Time & Savings Deposits;317763.165
Monthly;2010;Q1;Feb;Money Supply M3;1009850.45677
Monthly;2010;Q1;Mar;Money Supply M1;542010.447059
Monthly;2010;Q2;Apr;Time & Savings Deposits;307590.187
Monthly;2010;Q2;Apr;Other Quasi- Money Deposits;145973.391
Monthly;2010;Q2;Apr;Currency Outside Banks;91086.2659096
Monthly;2010;Q2;Apr;Money Supply M2;856979.28291
Monthly;2010;Q2;May;Time & Savings Deposits;307982.457
Monthly;2010;Q2;May;Currency Outside Banks;90613.9336772
Monthly;2010;Q2;Jun;Time & Savings Deposits;304047.311
Monthly;2010;Q3;Jul;Money Supply M1;589134.290685
Monthly;2010;Q3;Aug;Time & Savings Deposits;287163.555
Monthly;2010;Q3;Aug;Other Quasi- Money Deposits;147140.177
Monthly;2010;Q4;Oct;Time & Savings Deposits;283585.237
Monthly;2010;Q4;Oct;Other Quasi- Money Deposits;162082.669
Monthly;2010;Q4;Oct;Money Supply M1;595170.948471
Monthly;2010;Q4;Dec;Money Supply M3;1080369.79168
Monthly;2011;Q1;Jan;Demand  Deposits;542902.193
Monthly;2011;Q1;Jan;Currency Outside Banks;99099.9542419
Monthly;2011;Q1;Jan;Money Supply M3;1101339.57624
Monthly;2011;Q1;Feb;Demand  Deposits;544726.303
Monthly;2011;Q1;Feb;Currency Outside Banks;99753.8910392
Monthly;2011;Q1;Feb;Money Supply M1;644480.194039
Monthly;2011;Q1;Mar;Demand  Deposits;583031.552
Monthly;2011;Q1;Mar;Money Supply M3;1161987.99205
Monthly;2011;Q2;Apr;Time & Savings Deposits;296322.201
Monthly;2011;Q2;Apr;Money Supply M1;726884.622958
Monthly;2011;Q2;May;Currency Outside Banks;114696.524348
Monthly;2011;Q2;Jun;Money Supply M3;1188303.23177
Monthly;2011;Q3;Jul;Time & Savings Deposits;295960.397
Monthly;2011;Q3;Jul;Demand  Deposits;616560.891
Monthly;2011;Q3;Jul;Money Supply M3;1193093.29888
Monthly;2011;Q3;Sep;Money Supply M3;1200103.47573
Monthly;2011;Q3;Sep;Money Supply M2;1033490.96573
Monthly;2011;Q4;Nov;Time & Savings Deposits;297492.666
Monthly;2011;Q4;Nov;Other Quasi- Money Deposits;172026.426
Monthly;2011;Q4;Nov;Currency Outside Banks;119627.937619
Monthly;2011;Q4;Nov;Money Supply M2;1044096.60662
Monthly;2011;Q4;Dec;Demand  Deposits;642093.67
Monthly;2012;Q1;Jan;Demand  Deposits;661492.014
Monthly;2012;Q1;Feb;Other Quasi- Money Deposits;161460.002
Monthly;2012;Q1;Feb;Money Supply M2;1108356.19477
Monthly;2012;Q1;Mar;Money Supply M2;1120810.68051
Monthly;2012;Q2;Apr;Time & Savings Deposits;305293.529
Monthly;2012;Q2;May;Time & Savings Deposits;309708.735
Monthly;2012;Q2;Jun;Currency Outside Banks;125605.758442
Monthly;2012;Q2;Jun;Money Supply M3;1301446.68344
Monthly;2012;Q3;Jul;Other Quasi- Money Deposits;172908.165
Monthly;2012;Q3;Jul;Money Supply M2;1124082.7075
Monthly;2012;Q3;Aug;Time & Savings Deposits;297007.637
Monthly;2012;Q3;Aug;Money Supply M2;1132025.6262
Monthly;2012;Q3;Sep;Currency Outside Banks;130143.219037
Monthly;2012;Q4;Nov;Demand  Deposits;710579.399
Monthly;2012;Q4;Nov;Money Supply M1;842956.175029
Monthly;2012;Q4;Dec;Currency Outside Banks;133120.728288
Monthly;2012;Q4;Dec;Money Supply M1;889676.073288
Monthly;2013;Q1;Feb;Other Quasi- Money Deposits;175445.31
Monthly;2013;Q2;Apr;Demand  Deposits;823729.547
Monthly;2013;Q2;Apr;Money Supply M2;1278136.91378
Monthly;2013;Q2;May;Other Quasi- Money Deposits;195261.345
Monthly;2013;Q3;Jul;Demand  Deposits;835271.541
Monthly;2013;Q3;Jul;Money Supply M3;1487179.27689
Monthly;2013;Q3;Aug;Demand  Deposits;835140.36
Monthly;2013;Q3;Aug;Money Supply M3;1477700.75181
Monthly;2013;Q3;Sep;Money Supply M1;966296.46507
Monthly;2013;Q4;Oct;Money Supply M2;1302697.5199
Monthly;2013;Q4;Nov;Money Supply M3;1524909.14471
Monthly;2013;Q4;Dec;Money Supply M3;1561070.44418
Monthly;2014;Q1;Jan;Time & Savings Deposits;344855.221
Monthly;2014;Q1;Jan;Currency Outside Banks;145451.810759
Monthly;2014;Q1;Feb;Currency Outside Banks;146169.96769
Monthly;2014;Q1;Feb;Money Supply M3;1598245.15469
Monthly;2014;Q1;Mar;Money Supply M3;1634769.85054
Monthly;2014;Q2;May;Currency Outside Banks;152090.549681
Monthly;2014;Q2;Jun;Other Quasi- Money Deposits;203460.84
Monthly;2014;Q3;Aug;Time & Savings Deposits;394967.461
Monthly;2014;Q3;Sep;Time & Savings Deposits;406374.752
Monthly;2014;Q3;Sep;Money Supply M1;1100834.47183
Monthly;2014;Q3;Sep;Money Supply M3;1698168.71483
Monthly;2014;Q4;Oct;Time & Savings Deposits;402207.407
Monthly;2014;Q4;Oct;Other Quasi- Money Deposits;216712.257
Monthly;2014;Q4;Oct;Money Supply M1;1098167.19243
Monthly;2014;Q4;Oct;Money Supply M3;1717086.85643
Monthly;2014;Q4;Nov;Other Quasi- Money Deposits;199995.456
Monthly;2014;Q4;Nov;Currency Outside Banks;152822.891321
Monthly;2014;Q4;Dec;Currency Outside Banks;153750.143112
Monthly;2014;Q4;Dec;Money Supply M2;1548554.00311
Monthly;2015;Q1;Jan;Demand  Deposits;988118.686
Monthly;2015;Q1;Jan;Money Supply M2;1534453.29167
Monthly;2015;Q1;Feb;Currency Outside Banks;169131.207541
Monthly;2015;Q1;Feb;Money Supply M2;1605785.98754
Monthly;2015;Q1;Mar;Demand  Deposits;1053229.895
Monthly;2015;Q1;Mar;Other Quasi- Money Deposits;187659.107
Monthly;2015;Q2;May;Currency Outside Banks;172397.524265
Monthly;2015;Q2;Jun;Money Supply M1;1259095.93969
Monthly;2015;Q3;Jul;Currency Outside Banks;179052.899023
Monthly;2015;Q3;Jul;Money Supply M2;1631725.38602
Monthly;2015;Q3;Aug;Demand  Deposits;1063494.06
Monthly;2015;Q3;Sep;Time & Savings Deposits;411847.514
Monthly;2015;Q4;Nov;Demand  Deposits;1029233.201
Monthly;2015;Q4;Nov;Currency Outside Banks;168114.625758
Monthly;2015;Q4;Nov;Money Supply M1;1197347.82676
Monthly;2015;Q4;Nov;Money Supply M2;1617679.48276
Monthly;2015;Q4;Dec;Other Quasi- Money Deposits;197562.28
Monthly;2015;Q4;Dec;Money Supply M3;1785582.06348
Monthly;2015;Q4;Dec;Money Supply M2;1588019.78348
Monthly;2016;Q1;Jan;Money Supply M1;1155526.28032
Monthly;2016;Q1;Jan;Money Supply M2;1580722.59932
Monthly;2016;Q1;Feb;Money Supply M1;1150680.05904
Monthly;2016;Q1;Feb;Money Supply M3;1762373.10036
Monthly;2016;Q1;Mar;Money Supply M2;1573911.14257
Monthly;2016;Q2;Apr;Time & Savings Deposits;410197.499184
Monthly;2016;Q2;Apr;Other Quasi- Money Deposits;215064.256544
Monthly;2016;Q2;Apr;Currency Outside Banks;170916.169501
Monthly;2016;Q2;May;Time & Savings Deposits;413540.80263
Monthly;2016;Q2;May;Demand  Deposits;989900.405207
Monthly;2016;Q2;May;Other Quasi- Money Deposits;197860.130468
Monthly;2016;Q2;May;Money Supply M1;1162130.23516
Monthly;2016;Q2;Jun;Time & Savings Deposits;447275.954056
Monthly;2016;Q2;Jun;Currency Outside Banks;181801.659479
Monthly;2016;Q2;Jun;Money Supply M2;1595272.92025
Monthly;2016;Q3;Jul;Money Supply M3;1765224.40158
Monthly;2016;Q3;Aug;Money Supply M3;1762477.75545
Monthly;2016;Q3;Sep;Money Supply M1;1117869.03883
Monthly;2016;Q4;Oct;Time & Savings Deposits;502292.841322
Monthly;2016;Q4;Nov;Demand  Deposits;979428.778347
Monthly;2016;Q4;Dec;Time & Savings Deposits;496019.307881
Monthly;2016;Q4;Dec;Other Quasi- Money Deposits;157279.108572
Monthly;2017;Q1;Feb;Demand  Deposits;974813.431081
Monthly;2017;Q1;Feb;Other Quasi- Money Deposits;148936.63846
Monthly;2017;Q1;Feb;Currency Outside Banks;167597.201197
Monthly;2017;Q1;Feb;Money Supply M3;1764511.1124
Monthly;2017;Q1;Feb;Money Supply M2;1615574.47394
Monthly;2017;Q1;Mar;Time & Savings Deposits;471336.488861
Monthly;2017;Q1;Mar;Other Quasi- Money Deposits;153148.745973
Monthly;2017;Q1;Mar;Money Supply M3;1792073.29764
Monthly;2017;Q1;Mar;Money Supply M2;1638924.55166
Monthly;2017;Q2;Apr;Other Quasi- Money Deposits;160122.881668
Monthly;2017;Q2;Apr;Money Supply M2;1632768.15285
Monthly;2017;Q2;May;Currency Outside Banks;170575.571548
Monthly;2017;Q2;Jun;Money Supply M2;1652695.93208
Monthly;2017;Q3;Jul;Time & Savings Deposits;487933.531902
Monthly;2017;Q3;Jul;Money Supply M1;1171548.79587
Monthly;2017;Q3;Jul;Money Supply M2;1659482.32777
Monthly;2017;Q3;Sep;Time & Savings Deposits;476453.252275
Monthly;2017;Q3;Sep;Other Quasi- Money Deposits;159111.530719
Monthly;2017;Q3;Sep;Money Supply M3;1786426.74462
Monthly;2017;Q4;Oct;Demand  Deposits;997268.133543
Monthly;2017;Q4;Nov;Time & Savings Deposits;436644.829762
Monthly;2017;Q4;Nov;Currency Outside Banks;169617.010766
Monthly;2017;Q4;Nov;Money Supply M1;1170362.93749
Monthly;2017;Q4;Dec;Money Supply M3;1805171.37263
Monthly;2017;Q4;Dec;Money Supply M2;1628666.1579
Monthly;2018;Q1;Feb;Demand  Deposits;1010247.00812
Monthly;2018;Q1;Mar;Money Supply M3;1795218.26747
Monthly;2018;Q2;Apr;Demand  Deposits;1036080.99629
Monthly;2018;Q2;Apr;Money Supply M2;1628260.7713
Monthly;2018;Q2;May;Time & Savings Deposits;410409.580662
Monthly;2018;Q2;May;Money Supply M2;1630162.78412
Monthly;2018;Q2;Jun;Other Quasi- Money Deposits;179004.597557
Monthly;2018;Q3;Jul;Other Quasi- Money Deposits;171700.616569
Monthly;2018;Q3;Jul;Money Supply M2;1629042.2581
Monthly;2018;Q3;Aug;Money Supply M1;1204211.65995
Monthly;2018;Q4;Nov;Currency Outside Banks;179748.960568
Monthly;2018;Q4;Dec;Demand  Deposits;1040664.95185
Monthly;2019;Q1;Jan;Other Quasi- Money Deposits;176286.844942
Monthly;2019;Q1;Jan;Money Supply M3;1828696.487
Monthly;2019;Q1;Feb;Money Supply M1;1217689.14656
Monthly;2019;Q1;Mar;Currency Outside Banks;184719.108126
Monthly;2019;Q1;Mar;Money Supply M3;1829082.54544
Monthly;2019;Q2;Apr;Demand  Deposits;1055153.15732
Monthly;2019;Q2;Jun;Money Supply M3;1882261.89648
Annually;1988;-;-;Currency Outside Banks;35945.3
Annually;1988;-;-;Money Supply M1;93664.2
Annually;1988;-;-;Money Supply M3;178417.8
Annually;1988;-;-;Money Supply M2;134142.8
Annually;1990;-;-;Other Quasi- Money Deposits;46892.917053
Annually;1990;-;-;Currency Outside Banks;44776.248436
Annually;1990;-;-;Money Supply M3;188438.408329
Annually;1990;-;-;Money Supply M2;141545.491276
Annually;1991;-;-;Time & Savings Deposits;44623.018342
Annually;1991;-;-;Demand  Deposits;75850.327042
Annually;1992;-;-;Demand  Deposits;81691.9
Annually;1992;-;-;Currency Outside Banks;43771.6
Annually;1992;-;-;Money Supply M3;223005.183
Annually;1992;-;-;Money Supply M2;171796.4
Annually;1993;-;-;Demand  Deposits;78879.959
Annually;1993;-;-;Money Supply M1;121502.756617
Annually;1994;-;-;Time & Savings Deposits;51417.12
Annually;1995;-;-;Time & Savings Deposits;61222.523
Annually;1996;-;-;Demand  Deposits;89890.221
Annually;1997;-;-;Time & Savings Deposits;77165.538
Annually;1997;-;-;Money Supply M1;141183.748
Annually;1998;-;-;Demand  Deposits;95253.268
Annually;1999;-;-;Time & Savings Deposits;85341.415
Annually;2000;-;-;Currency Outside Banks;51019.457
Annually;2000;-;-;Money Supply M1;165500.388
Annually;2001;-;-;Money Supply M3;339982.871
Annually;2002;-;-;Time & Savings Deposits;108028.195
Annually;2002;-;-;Demand  Deposits;150009.862
Annually;2002;-;-;Currency Outside Banks;52329.209
Annually;2006;-;-;Time & Savings Deposits;226026.745
Annually;2006;-;-;Other Quasi- Money Deposits;121499.516
Annually;2006;-;-;Money Supply M1;312741.792
Annually;2006;-;-;Money Supply M2;538768.537
Annually;2007;-;-;Money Supply M2;666615.86
Annually;2008;-;-;Time & Savings Deposits;367623.877
Annually;2008;-;-;Demand  Deposits;342487.682
Annually;2009;-;-;Money Supply M1;521557.563
Annually;2009;-;-;Money Supply M3;1028943.781
Annually;2010;-;-;Money Supply M1;625591.832
Annually;2011;-;-;Time & Savings Deposits;316400.646
Annually;2011;-;-;Demand  Deposits;642093.67
Annually;2012;-;-;Time & Savings Deposits;329679.868
Annually;2012;-;-;Other Quasi- Money Deposits;188717.559
Annually;2014;-;-;Other Quasi- Money Deposits;193335.18
Annually;2014;-;-;Money Supply M3;1741889.18311
Annually;2015;-;-;Demand  Deposits;980150.664
Annually;2015;-;-;Currency Outside Banks;168491.790479
Annually;2015;-;-;Money Supply M3;1785582.06348
Annually;2016;-;-;Demand  Deposits;976086.198808
Annually;2016;-;-;Other Quasi- Money Deposits;157279.108572
Annually;2017;-;-;Other Quasi- Money Deposits;176505.214735
Annually;2017;-;-;Money Supply M1;1174514.0987
Quarterly;1993;Q3;-;Time & Savings Deposits;45713.529
Quarterly;1993;Q4;-;Demand  Deposits;78879.959
Quarterly;1994;Q1;-;Demand  Deposits;80386.286
Quarterly;1994;Q1;-;Other Quasi- Money Deposits;57715.399
Quarterly;1994;Q1;-;Currency Outside Banks;44789.630069
Quarterly;1994;Q2;-;Demand  Deposits;82602.919
Quarterly;1994;Q2;-;Currency Outside Banks;44923.696395
Quarterly;1994;Q2;-;Money Supply M1;127526.615395
Quarterly;1994;Q2;-;Money Supply M3;233540.503395
Quarterly;1994;Q3;-;Time & Savings Deposits;48357.727
Quarterly;1994;Q3;-;Other Quasi- Money Deposits;58549.218
Quarterly;1994;Q3;-;Money Supply M3;232238.771086
Quarterly;1994;Q3;-;Money Supply M2;173689.553086
Quarterly;1994;Q4;-;Demand  Deposits;80679.357
Quarterly;1994;Q4;-;Other Quasi- Money Deposits;59169.37
Quarterly;1994;Q4;-;Money Supply M3;236230.925411
Quarterly;1995;Q1;-;Time & Savings Deposits;54625.362
Quarterly;1995;Q4;-;Time & Savings Deposits;61222.523
Quarterly;1995;Q4;-;Currency Outside Banks;43087.203
Quarterly;1995;Q4;-;Money Supply M1;124471.136
Quarterly;1996;Q1;-;Demand  Deposits;83226.502
Quarterly;1996;Q1;-;Other Quasi- Money Deposits;56612.007
Quarterly;1996;Q4;-;Currency Outside Banks;43037.635
Quarterly;1997;Q1;-;Money Supply M1;142134.152
Quarterly;1997;Q2;-;Other Quasi- Money Deposits;55827.952
Quarterly;1997;Q2;-;Money Supply M1;144497.995
Quarterly;1997;Q3;-;Demand  Deposits;94200.418
Quarterly;1997;Q3;-;Money Supply M1;138766.261
Quarterly;1997;Q4;-;Money Supply M1;141183.748
Quarterly;1997;Q4;-;Money Supply M3;272548.809
Quarterly;1998;Q1;-;Demand  Deposits;98017.262
Quarterly;1998;Q1;-;Money Supply M3;277013.253
Quarterly;1998;Q2;-;Time & Savings Deposits;80143.232
Quarterly;1998;Q2;-;Other Quasi- Money Deposits;52004.757
Quarterly;1998;Q3;-;Money Supply M1;138133.637
Quarterly;1998;Q4;-;Money Supply M2;223708.415
Quarterly;1999;Q1;-;Currency Outside Banks;47242.843
Quarterly;1999;Q1;-;Money Supply M3;287332.074
Quarterly;1999;Q1;-;Money Supply M2;230706.693
Quarterly;1999;Q3;-;Currency Outside Banks;41746.691
Quarterly;1999;Q4;-;Currency Outside Banks;55060.285
Quarterly;1999;Q4;-;Money Supply M1;156665.18
Quarterly;1999;Q4;-;Money Supply M3;305445.912
Quarterly;2000;Q1;-;Money Supply M3;303916.3
Quarterly;2000;Q3;-;Demand  Deposits;112622.136
Quarterly;2001;Q2;-;Other Quasi- Money Deposits;65311.32
Quarterly;2001;Q2;-;Money Supply M2;265121.875
Quarterly;2001;Q3;-;Demand  Deposits;126528.21
Quarterly;2001;Q3;-;Money Supply M1;173056.808
Quarterly;2001;Q4;-;Time & Savings Deposits;91684.591
Quarterly;2001;Q4;-;Other Quasi- Money Deposits;68902.386
Quarterly;2002;Q1;-;Money Supply M2;278644.847
Quarterly;2002;Q2;-;Demand  Deposits;143514.352
Quarterly;2002;Q2;-;Money Supply M3;350473.123
Quarterly;2002;Q4;-;Other Quasi- Money Deposits;79841.297
Quarterly;2003;Q1;-;Money Supply M2;318954.939
Quarterly;2003;Q2;-;Time & Savings Deposits;104984.349
Quarterly;2003;Q2;-;Money Supply M1;217793.388
Quarterly;2003;Q3;-;Currency Outside Banks;52233.157
Quarterly;2003;Q4;-;Money Supply M3;417106.782
Quarterly;2004;Q1;-;Demand  Deposits;182165.55
Quarterly;2004;Q1;-;Money Supply M1;238867.032
Quarterly;2004;Q2;-;Time & Savings Deposits;115238.608
Quarterly;2004;Q3;-;Time & Savings Deposits;126068.248
Quarterly;2004;Q3;-;Demand  Deposits;187349.429
Quarterly;2004;Q3;-;Money Supply M2;369455.953
Quarterly;2005;Q1;-;Money Supply M2;418797.367
Quarterly;2005;Q2;-;Currency Outside Banks;60156.397
Quarterly;2005;Q4;-;Demand  Deposits;219251.036
Quarterly;2005;Q4;-;Other Quasi- Money Deposits;104542.462
Quarterly;2005;Q4;-;Money Supply M2;448805.471
Quarterly;2006;Q1;-;Time & Savings Deposits;190142.288
Quarterly;2006;Q1;-;Other Quasi- Money Deposits;105070.665
Quarterly;2006;Q1;-;Money Supply M1;290320.738
Quarterly;2006;Q2;-;Demand  Deposits;237337.733
Quarterly;2006;Q3;-;Other Quasi- Money Deposits;117479.409
Quarterly;2006;Q3;-;Money Supply M1;293646.792
Quarterly;2006;Q4;-;Time & Savings Deposits;226026.745
Quarterly;2007;Q3;-;Money Supply M3;744133.62
Quarterly;2007;Q4;-;Currency Outside Banks;72191.673
Quarterly;2008;Q1;-;Time & Savings Deposits;294132.628
Quarterly;2008;Q3;-;Demand  Deposits;333583.282
Quarterly;2008;Q4;-;Money Supply M3;929124.571
Quarterly;2009;Q2;-;Money Supply M2;824202.997
Quarterly;2009;Q3;-;Currency Outside Banks;88568.808
Quarterly;2009;Q3;-;Money Supply M3;999925.211
Quarterly;2009;Q4;-;Time & Savings Deposits;323377.029
Quarterly;2009;Q4;-;Money Supply M1;521557.563
Quarterly;2009;Q4;-;Money Supply M2;844934.592
Quarterly;2010;Q1;-;Money Supply M2;855717.204059
Quarterly;2010;Q2;-;Time & Savings Deposits;304047.311
Quarterly;2010;Q2;-;Currency Outside Banks;92422.5583488
Quarterly;2010;Q3;-;Currency Outside Banks;95465.6375518
Quarterly;2010;Q4;-;Other Quasi- Money Deposits;156495.171
Quarterly;2010;Q4;-;Money Supply M1;625592.074685
Quarterly;2011;Q1;-;Other Quasi- Money Deposits;168067.648
Quarterly;2011;Q2;-;Money Supply M1;721820.780773
Quarterly;2011;Q2;-;Money Supply M2;1028835.45477
Quarterly;2011;Q3;-;Other Quasi- Money Deposits;166612.51
Quarterly;2011;Q3;-;Money Supply M1;733495.939732
Quarterly;2011;Q3;-;Money Supply M2;1033490.96573
Quarterly;2011;Q4;-;Currency Outside Banks;119901.526406
Quarterly;2011;Q4;-;Money Supply M1;761995.196406
Quarterly;2012;Q1;-;Demand  Deposits;678561.795
Quarterly;2012;Q2;-;Other Quasi- Money Deposits;170178.301
Quarterly;2012;Q2;-;Currency Outside Banks;125605.758442
Quarterly;2012;Q4;-;Other Quasi- Money Deposits;188717.559
Quarterly;2013;Q1;-;Time & Savings Deposits;317928.912
Quarterly;2013;Q1;-;Money Supply M3;1440345.55103
Quarterly;2013;Q1;-;Money Supply M2;1261482.28903
Quarterly;2014;Q1;-;Time & Savings Deposits;351479.77
Quarterly;2014;Q1;-;Currency Outside Banks;146656.713541
Quarterly;2014;Q2;-;Time & Savings Deposits;365485.459
Quarterly;2014;Q2;-;Money Supply M1;1092500.50454
Quarterly;2015;Q1;-;Money Supply M3;1799358.57676
Quarterly;2015;Q1;-;Money Supply M2;1611699.46976
Quarterly;2015;Q2;-;Currency Outside Banks;174016.563694
Quarterly;2015;Q3;-;Demand  Deposits;1067325.841
Quarterly;2015;Q3;-;Money Supply M2;1654319.22131
Quarterly;2016;Q2;-;Time & Savings Deposits;447275.954056
Quarterly;2016;Q2;-;Currency Outside Banks;181801.659479
Quarterly;2016;Q3;-;Time & Savings Deposits;479046.784482
Quarterly;2016;Q3;-;Money Supply M3;1766190.07777
Quarterly;2016;Q4;-;Money Supply M1;1146409.26764
Quarterly;2017;Q1;-;Money Supply M3;1792073.29764
Quarterly;2017;Q2;-;Other Quasi- Money Deposits;180169.627331
Quarterly;2017;Q4;-;Other Quasi- Money Deposits;176505.214735
Quarterly;2018;Q1;-;Money Supply M3;1795218.26747
Quarterly;2018;Q1;-;Money Supply M2;1630792.82361
Quarterly;2018;Q2;-;Time & Savings Deposits;425210.413862
Quarterly;2018;Q2;-;Demand  Deposits;1022132.06542
Quarterly;2018;Q3;-;Time & Savings Deposits;430433.194543
Quarterly;2018;Q4;-;Money Supply M1;1220797.39784
Quarterly;2019;Q1;-;Time & Savings Deposits;429884.965683
Quarterly;2019;Q1;-;Money Supply M3;1829082.54544
Quarterly;2019;Q1;-;Money Supply M2;1651105.3222
Monthly;1993;Q1;Jan;Currency Outside Banks;43987.38
Monthly;1993;Q1;Feb;Money Supply M3;236334.728
Monthly;1993;Q1;Feb;Money Supply M2;176071.613
Monthly;1993;Q1;Mar;Money Supply M1;132000.5615
Monthly;1993;Q1;Mar;Money Supply M2;177749.2785
Monthly;1993;Q2;Apr;Currency Outside Banks;46594.138533
Monthly;1993;Q2;May;Demand  Deposits;85989.786
Monthly;1993;Q2;May;Other Quasi- Money Deposits;54955.455
Monthly;1993;Q2;May;Money Supply M3;236100.2507
Monthly;1993;Q2;Jun;Money Supply M3;241209.663353
Monthly;1993;Q3;Jul;Money Supply M2;182741.5404
Monthly;1993;Q3;Aug;Other Quasi- Money Deposits;61287.743
Monthly;1993;Q3;Sep;Time & Savings Deposits;45713.529
Monthly;1993;Q4;Oct;Money Supply M2;173359.563706
Monthly;1993;Q4;Nov;Other Quasi- Money Deposits;61860.41
Monthly;1993;Q4;Nov;Currency Outside Banks;42836.33823
Monthly;1993;Q4;Dec;Currency Outside Banks;42622.797617
Monthly;1993;Q4;Dec;Money Supply M3;228422.755617
Monthly;1993;Q4;Dec;Money Supply M2;169395.095617
Monthly;1994;Q1;Feb;Demand  Deposits;84268.491
Monthly;1994;Q1;Feb;Money Supply M1;130571.855
Monthly;1994;Q1;Mar;Other Quasi- Money Deposits;57715.399
Monthly;1994;Q1;Mar;Money Supply M1;125175.916069
Monthly;1994;Q1;Mar;Money Supply M2;173948.638069
Monthly;1994;Q2;Apr;Time & Savings Deposits;47971.188
Monthly;1994;Q2;May;Money Supply M2;176110.435189
Monthly;1994;Q3;Jul;Time & Savings Deposits;47046.934
Monthly;1994;Q3;Jul;Currency Outside Banks;44449.077086
Monthly;1994;Q3;Jul;Money Supply M3;232525.593086
Monthly;1994;Q3;Aug;Time & Savings Deposits;47025.923
Monthly;1994;Q3;Aug;Other Quasi- Money Deposits;58119.12
Monthly;1994;Q3;Aug;Money Supply M3;231475.929016
Monthly;1994;Q4;Nov;Demand  Deposits;81423.201
Monthly;1994;Q4;Dec;Currency Outside Banks;44965.078411
Monthly;1995;Q1;Jan;Money Supply M1;124336.705
Monthly;1995;Q1;Feb;Demand  Deposits;79768.541
Monthly;1995;Q1;Feb;Money Supply M2;181585.727
Monthly;1995;Q1;Mar;Currency Outside Banks;46446.280507
Monthly;1995;Q1;Mar;Money Supply M2;183520.619507
Monthly;1995;Q2;Apr;Time & Savings Deposits;54394.064
Monthly;1995;Q2;Apr;Demand  Deposits;82464.792
Monthly;1995;Q2;May;Currency Outside Banks;47069.917454
Monthly;1995;Q2;Jun;Demand  Deposits;84180.731
Monthly;1995;Q2;Jun;Money Supply M1;131056.46162
Monthly;1995;Q3;Jul;Money Supply M2;184137.4635
Monthly;1995;Q3;Aug;Time & Savings Deposits;57233.003
Monthly;1995;Q3;Sep;Time & Savings Deposits;58436.185
Monthly;1995;Q3;Sep;Money Supply M2;182698.436
Monthly;1995;Q4;Oct;Currency Outside Banks;42614.902
Monthly;1995;Q4;Nov;Demand  Deposits;81907.789
Monthly;1995;Q4;Nov;Money Supply M1;124684.772
Monthly;1995;Q4;Nov;Money Supply M3;239134.984
Monthly;1995;Q4;Nov;Money Supply M2;183943.971
Monthly;1995;Q4;Dec;Other Quasi- Money Deposits;56075.251
Monthly;1995;Q4;Dec;Currency Outside Banks;43087.203
Monthly;1995;Q4;Dec;Money Supply M3;241768.91
Monthly;1996;Q1;Feb;Money Supply M2;188321.9334
Monthly;1996;Q2;Apr;Time & Savings Deposits;63254.693
Monthly;1996;Q2;Apr;Other Quasi- Money Deposits;55077.231
Monthly;1996;Q2;Jun;Time & Savings Deposits;61296.042
Monthly;1996;Q2;Jun;Demand  Deposits;88015.869
Monthly;1996;Q2;Jun;Currency Outside Banks;44985.366
Monthly;1996;Q3;Aug;Demand  Deposits;86392.423
Monthly;1996;Q3;Aug;Currency Outside Banks;42290.983308
Monthly;1996;Q3;Aug;Money Supply M3;249791.209308
Monthly;1996;Q3;Sep;Demand  Deposits;86951.385
Monthly;1996;Q3;Sep;Currency Outside Banks;41348.8128954
Monthly;1996;Q3;Sep;Money Supply M3;249714.232895
Monthly;1996;Q4;Oct;Time & Savings Deposits;66950.689
Monthly;1996;Q4;Oct;Money Supply M2;194737.856934
Monthly;1996;Q4;Nov;Time & Savings Deposits;68085.143
Monthly;1996;Q4;Dec;Time & Savings Deposits;71080.751
Monthly;1997;Q1;Feb;Time & Savings Deposits;69563.339
Monthly;1997;Q1;Mar;Money Supply M3;268086.775
Monthly;1997;Q2;Apr;Money Supply M2;211749.947
Monthly;1997;Q2;May;Currency Outside Banks;46261.003
Monthly;1997;Q2;May;Money Supply M3;268651.488
Monthly;1997;Q3;Aug;Demand  Deposits;95290.923
Monthly;1997;Q3;Aug;Other Quasi- Money Deposits;53481.906
Monthly;1997;Q3;Sep;Money Supply M3;266269.238
Monthly;1997;Q4;Oct;Time & Savings Deposits;72883.008
Monthly;1997;Q4;Oct;Demand  Deposits;94514.682
Monthly;1997;Q4;Nov;Time & Savings Deposits;74581.078
Monthly;1997;Q4;Nov;Currency Outside Banks;44601.199
Monthly;1997;Q4;Nov;Money Supply M1;139501.933
